,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgTimeInCompany
584,28,1,Travel_Rarely,Research & Development,15,4,Life Sciences,Male,2,Sales Executive,Married,41970,1,13,0,1,3,1,0,0,3,4,2,1,3,0.5
2696,28,1,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,4,Research Director,Single,100960,2,13,0,6,2,3,0,3,3,3,3,3,3,2
1691,24,1,Travel_Frequently,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,39190,1,21,0,6,3,4,1,2,1,3,3,3,4,3
606,41,1,Non-Travel,Research & Development,12,3,Life Sciences,Male,2,Sales Representative,Divorced,178560,6,16,0,5,2,1,0,0,1,1,1,4,3,0.714285714
448,40,1,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4,15,0,22,2,1,0,0,2,2,2,3,3,4.4
4356,38,1,Travel_Rarely,Sales,6,4,Life Sciences,Female,3,Research Scientist,Married,107480,7,15,0,17,3,1,0,0,2,1,3,3,3,2.125
156,24,1,Travel_Rarely,Research & Development,26,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,1,3,1,4,1,2,3,2,3,3
3750,28,1,Travel_Frequently,Sales,1,3,Marketing,Male,2,Laboratory Technician,Single,20970,7,12,0,8,3,1,0,0,3,1,2,3,3,1
717,54,1,Travel_Rarely,Research & Development,19,3,Technical Degree,Male,1,Human Resources,Single,46800,6,14,3,24,1,6,3,8,1,3,2,4,3,3.428571429
2896,30,1,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,2,Research Scientist,Single,55620,5,13,0,8,3,3,0,4,4,1,3,2,3,1.333333333
1323,34,1,Travel_Frequently,Research & Development,4,4,Life Sciences,Female,4,Sales Executive,Single,55620,1,15,0,9,3,4,0,6,1,3,2,3,3,4.5
2010,33,1,Travel_Rarely,Research & Development,8,2,Life Sciences,Male,4,Manufacturing Director,Single,29040,4,13,0,5,2,2,2,2,1,2,3,3,3,1
2822,32,1,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Single,41480,7,15,0,10,1,3,0,4,1,1,4,2,3,1.25
522,28,1,Non-Travel,Research & Development,19,4,Life Sciences,Female,4,Laboratory Technician,Single,52380,1,17,1,10,4,4,1,9,2,1,2,2,3,5
2251,34,1,Travel_Rarely,Research & Development,7,4,Medical,Male,2,Research Scientist,Married,26940,1,16,1,2,3,2,2,2,1,3,3,3,3,1
573,31,1,Travel_Frequently,Sales,10,3,Technical Degree,Female,1,Research Director,Married,53040,1,17,0,2,3,2,2,2,3,3,2,4,3,1
4077,31,1,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,10,2,4,0,8,1,4,3,3,3,5
763,25,1,Travel_Rarely,Sales,16,4,Life Sciences,Male,2,Research Scientist,Married,178560,3,19,0,6,3,2,2,2,1,1,3,2,3,1.5
4061,27,1,Travel_Frequently,Sales,8,1,Life Sciences,Male,4,Laboratory Technician,Married,102310,1,13,1,1,2,1,0,0,1,2,3,3,3,0.5
1918,40,1,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4,15,0,22,2,1,0,0,2,2,2,3,3,4.4
2076,41,1,Non-Travel,Research & Development,12,3,Life Sciences,Male,2,Sales Representative,Divorced,178560,6,16,0,5,2,1,0,0,1,1,1,4,3,0.714285714
3064,26,1,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0,18,3,7,3,4,0,4,3,1,3,3,3,7
2525,29,1,Travel_Rarely,Research & Development,8,2,Medical,Male,1,Manager,Divorced,28530,4,14,1,4,5,2,2,0,1,1,3,2,3,0.8
2348,28,1,Travel_Rarely,Research & Development,1,3,Medical,Female,2,Laboratory Technician,Married,24130,1,16,1,1,2,1,0,0,3,2,3,3,3,0.5
1180,24,1,Travel_Frequently,Research & Development,2,4,Life Sciences,Female,2,Manufacturing Director,Married,61790,1,11,0,1,3,1,1,0,4,1,2,3,3,0.5
1726,33,1,Travel_Frequently,Research & Development,15,4,Medical,Female,1,Laboratory Technician,Single,24060,1,11,0,10,3,4,9,7,1,1,3,3,3,5
978,36,1,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Manufacturing Director,Divorced,33760,5,20,0,16,3,2,2,2,2,1,3,3,4,2.666666667
2853,24,1,Travel_Frequently,Research & Development,10,2,Life Sciences,Male,2,Healthcare Representative,Single,41870,0,22,1,1,4,1,0,0,3,1,4,3,4,1
1943,24,1,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1,17,1,1,3,1,0,0,4,1,3,3,3,0.5
157,34,1,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0,20,1,3,3,2,1,0,4,3,2,3,4,3
1582,24,1,Travel_Rarely,Research & Development,10,2,Life Sciences,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,3,0.5
3461,51,1,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,178560,8,20,0,18,2,4,2,7,1,3,4,3,4,1.8
2941,31,1,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0,22,1,6,3,3,1,4,3,2,4,2,4,6
398,32,1,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1,15,1,1,5,1,0,1,1,4,1,2,3,0.5
3177,27,1,Travel_Rarely,Sales,26,3,Life Sciences,Male,2,Research Scientist,Divorced,22930,0,18,0,5,1,3,0,2,3,1,3,3,3,5
4202,48,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,1,Sales Executive,Single,45910,8,16,0,23,5,1,0,0,1,3,3,1,3,2.3
2946,28,1,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2,20,1,5,2,1,0,0,1,3,1,3,4,1.666666667
4344,35,1,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,2,Research Director,Married,108830,3,12,0,8,3,1,0,1,2,3,3,4,3,2
1137,31,1,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,10,2,4,0,8,1,4,3,3,3,5
4254,24,1,Travel_Frequently,Sales,4,4,Life Sciences,Female,2,Healthcare Representative,Single,99240,1,22,0,1,3,1,1,0,4,4,3,3,4,0.5
3471,44,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,8,15,0,24,3,6,3,6,2,1,3,3,3,2.4
3479,26,1,Travel_Rarely,Sales,8,2,Marketing,Male,2,Sales Executive,Divorced,80950,1,15,0,1,3,1,0,0,1,3,2,4,3,0.5
1508,24,1,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1,14,2,1,3,1,0,0,3,3,3,2,3,0.5
3139,24,1,Travel_Frequently,Research & Development,2,3,Technical Degree,Male,1,Sales Executive,Single,34680,1,18,2,1,4,1,0,0,2,2,3,4,3,0.5
763,25,1,Travel_Rarely,Sales,16,4,Life Sciences,Male,2,Research Scientist,Married,178560,3,19,0,6,3,2,2,2,1,1,3,2,3,1.5
3018,29,1,Travel_Rarely,Research & Development,26,3,Medical,Female,1,Research Scientist,Married,23070,1,13,1,7,1,4,0,7,2,1,2,3,3,3.5
3973,37,1,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,1,Laboratory Technician,Single,137580,1,11,1,10,5,4,0,8,4,1,1,3,3,5
156,24,1,Travel_Rarely,Research & Development,26,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,1,3,1,4,1,2,3,2,3,3
1004,43,1,Travel_Frequently,Research & Development,1,4,Other,Male,3,Sales Executive,Married,76550,8,12,1,6,3,1,0,0,3,3,3,3,3,0.6
1707,27,1,Travel_Rarely,Sales,26,3,Life Sciences,Male,2,Research Scientist,Divorced,22930,0,18,0,5,1,3,0,2,3,1,3,3,3,5
2374,35,1,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,3,Healthcare Representative,Married,23210,8,12,1,15,1,5,6,0,4,1,3,3,3,1.5
3688,49,1,Travel_Frequently,Sales,6,4,Medical,Female,2,Healthcare Representative,Single,23420,3,18,0,20,2,3,1,3,1,1,3,3,3,5
1956,37,1,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5,11,1,15,2,1,0,0,1,2,1,4,3,2.5
108,41,1,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1,11,0,8,3,4,7,7,1,2,3,4,3,4
1500,26,1,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2,11,0,5,5,2,0,2,1,2,3,2,3,1.666666667
2104,24,1,Non-Travel,Sales,2,2,Other,Male,3,Healthcare Representative,Single,98240,1,18,0,1,2,1,0,0,1,2,4,3,3,0.5
3474,33,1,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,1,Sales Executive,Single,62140,1,19,2,14,3,5,3,8,1,3,3,3,3,7
2054,28,1,Travel_Rarely,Research & Development,15,4,Life Sciences,Male,2,Sales Executive,Married,41970,1,13,0,1,3,1,0,0,3,4,2,1,3,0.5
538,25,1,Travel_Rarely,Research & Development,25,4,Life Sciences,Female,2,Research Scientist,Married,82680,1,12,0,7,3,4,5,6,4,4,4,2,3,3.5
2228,31,1,Travel_Rarely,Sales,20,3,Technical Degree,Male,1,Research Scientist,Single,61800,1,14,1,1,2,1,0,0,1,2,4,1,3,0.5
2808,54,1,Travel_Rarely,Sales,2,2,Medical,Female,1,Research Scientist,Married,43850,1,13,1,28,2,6,9,6,4,4,2,2,3,10.5
2608,53,1,Travel_Rarely,Research & Development,18,3,Medical,Male,1,Research Scientist,Single,34230,6,15,1,15,4,2,2,2,1,1,2,3,3,2.142857143
3162,30,1,Travel_Frequently,Research & Development,9,3,Other,Male,2,Healthcare Representative,Married,68250,1,14,0,1,2,1,0,0,2,1,4,3,3,0.5
222,30,1,Travel_Frequently,Research & Development,9,3,Other,Male,2,Healthcare Representative,Married,68250,1,14,0,1,2,1,0,0,2,1,4,3,3,0.5
1254,26,1,Travel_Rarely,Sales,4,3,Marketing,Male,2,Manager,Single,24040,1,12,0,1,5,1,0,1,1,3,2,3,3,0.5
491,52,1,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,20970,1,13,1,28,2,6,6,9,1,4,3,4,3,10.5
3462,28,1,Non-Travel,Research & Development,19,4,Life Sciences,Female,4,Laboratory Technician,Single,52380,1,17,1,10,4,4,1,9,2,1,2,2,3,5
2374,35,1,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,3,Healthcare Representative,Married,23210,8,12,1,15,1,5,6,0,4,1,3,3,3,1.5
6,28,1,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2,20,1,5,2,1,0,0,1,3,1,3,4,1.666666667
2383,40,1,Travel_Rarely,Sales,16,4,Marketing,Male,1,Research Director,Single,36330,3,16,2,10,1,3,0,3,1,1,1,3,3,2.5
3478,25,1,Travel_Rarely,Research & Development,25,4,Life Sciences,Female,2,Research Scientist,Married,82680,1,12,0,7,3,4,5,6,4,4,4,2,3,3.5
